x0000,y0000,x0001,y0001,x0002,y0002,x0003,y0003,x0004,y0004,x0005,y0005,x0006,y0006,x0007,y0007,x0008,y0008,x0009,y0009,x0010,y0010,x0011,y0011,x0012,y0012,x0013,y0013,x0014,y0014
0.,0.,,,,,,,,,0.,1.,,,0.,-0.0314941406,,,0.,-0.0251380801,0.,-0.1674456596,,,,,,,,
2047.,0.,,,,,,,,,2047.,1.,,,1.,-0.0316162109,,,1.,0.0771742463,1.,-0.1672998071,,,,,,,,
,,,,,,,,,,,,,,2.,-0.0318603516,,,2.,0.1279373169,2.,-0.1672530770,,,,,,,,
,,,,,,,,,,,,,,3.,-0.0318603516,,,3.,0.1060561538,3.,-0.1673161387,,,,,,,,
,,,,,,,,,,,,,,4.,-0.0317382812,,,4.,0.0192254186,4.,-0.1674245596,,,,,,,,
,,,,,,,,,,,,,,5.,-0.0316162109,,,5.,-0.0805537105,5.,-0.1675666571,,,,,,,,
,,,,,,,,,,,,,,6.,-0.0313720703,,,6.,-0.1297945380,6.,-0.1676132083,,,,,,,,
,,,,,,,,,,,,,,7.,-0.0313720703,,,7.,-0.0926300883,7.,-0.1675134897,,,,,,,,
,,,,,,,,,,,,,,8.,-0.0314941406,,,8.,0.0057250857,8.,-0.1673840284,,,,,,,,
,,,,,,,,,,,,,,9.,-0.0317382812,,,9.,0.099172473,9.,-0.1672933698,,,,,,,,
,,,,,,,,,,,,,,10.,-0.0318603516,,,10.,0.1275906563,10.,-0.1672345996,,,,,,,,
,,,,,,,,,,,,,,11.,-0.0318603516,,,11.,0.0709124804,11.,-0.1673822999,,,,,,,,
,,,,,,,,,,,,,,12.,-0.0316162109,,,12.,-0.0784422755,12.,-0.1675276160,,,,,,,,
,,,,,,,,,,,,,,13.,-0.0313720703,,,13.,-0.1293651462,13.,-0.1676070690,,,,,,,,
,,,,,,,,,,,,,,14.,-0.0313720703,,,14.,-0.0991349816,14.,-0.1675382853,,,,,,,,
,,,,,,,,,,,,,,15.,-0.0314941406,,,15.,-0.0067420006,15.,-0.1673879027,,,,,,,,
,,,,,,,,,,,,,,16.,-0.0317382812,,,16.,0.0909789801,16.,-0.1672925949,,,,,,,,
,,,,,,,,,,,,,,17.,-0.0318603516,,,17.,0.1288999915,17.,-0.1672304273,,,,,,,,
,,,,,,,,,,,,,,18.,-0.0318603516,,,18.,0.0763604641,18.,-0.1673253179,,,,,,,,
,,,,,,,,,,,,,,19.,-0.0317382812,,,19.,-0.0231538415,19.,-0.1674945951,,,,,,,,
,,,,,,,,,,,,,,20.,-0.0314941406,,,20.,-0.1117684245,20.,-0.1675736308,,,,,,,,
,,,,,,,,,,,,,,21.,-0.0313720703,,,21.,-0.1240501404,21.,-0.16758883,,,,,,,,
,,,,,,,,,,,,,,22.,-0.0313720703,,,22.,-0.0563748479,22.,-0.1674571633,,,,,,,,
,,,,,,,,,,,,,,23.,-0.0316162109,,,23.,0.0474836826,23.,-0.1673126817,,,,,,,,
,,,,,,,,,,,,,,24.,-0.0317382812,,,24.,0.1201426387,24.,-0.1672488451,,,,,,,,
,,,,,,,,,,,,,,25.,-0.0318603516,,,25.,0.1210513115,25.,-0.1672691107,,,,,,,,
,,,,,,,,,,,,,,26.,-0.0317382812,,,26.,0.0372651815,26.,-0.1673741341,,,,,,,,
,,,,,,,,,,,,,,27.,-0.0316162109,,,27.,-0.0677457452,27.,-0.1675310731,,,,,,,,
,,,,,,,,,,,,,,28.,-0.0313720703,,,28.,-0.1278591156,28.,-0.1675769687,,,,,,,,
,,,,,,,,,,,,,,29.,-0.0313720703,,,29.,-0.1020359397,29.,-0.1675434113,,,,,,,,
,,,,,,,,,,,,,,30.,-0.0314941406,,,30.,-0.0061150789,30.,-0.1673644781,,,,,,,,
,,,,,,,,,,,,,,31.,-0.0317382812,,,31.,0.0948848128,31.,-0.1672819257,,,,,,,,
,,,,,,,,,,,,,,32.,-0.0318603516,,,32.,0.1283035874,32.,-0.1672633290,,,,,,,,
,,,,,,,,,,,,,,33.,-0.0318603516,,,33.,0.0736149549,33.,-0.1673438549,,,,,,,,
,,,,,,,,,,,,,,34.,-0.0316162109,,,34.,-0.0358132124,34.,-0.1674661040,,,,,,,,
,,,,,,,,,,,,,,35.,-0.0314941406,,,35.,-0.1179060936,35.,-0.1675916314,,,,,,,,
,,,,,,,,,,,,,,36.,-0.0313720703,,,36.,-0.1166845560,36.,-0.1675643921,,,,,,,,
,,,,,,,,,,,,,,37.,-0.0314941406,,,37.,-0.0352439880,37.,-0.1674325466,,,,,,,,
,,,,,,,,,,,,,,38.,-0.0316162109,,,38.,0.0737583041,38.,-0.1672825813,,,,,,,,
,,,,,,,,,,,,,,39.,-0.0318603516,,,39.,0.1195468903,39.,-0.1672672629,,,,,,,,
,,,,,,,,,,,,,,40.,-0.0317382812,,,40.,0.0297318101,40.,-0.167396307,,,,,,,,
,,,,,,,,,,,,,,41.,-0.0316162109,,,41.,-0.0767552853,41.,-0.1675391793,,,,,,,,
,,,,,,,,,,,,,,42.,-0.0313720703,,,42.,-0.1298376322,42.,-0.1675813794,,,,,,,,
,,,,,,,,,,,,,,43.,-0.0313720703,,,43.,-0.0853998661,43.,-0.1675162911,,,,,,,,
,,,,,,,,,,,,,,44.,-0.0316162109,,,44.,0.0814082623,44.,-0.1672958732,,,,,,,,
,,,,,,,,,,,,,,45.,-0.0318603516,,,45.,0.1292375922,45.,-0.1672360301,,,,,,,,
,,,,,,,,,,,,,,46.,-0.0318603516,,,46.,0.0880242586,46.,-0.1673310995,,,,,,,,
,,,,,,,,,,,,,,47.,-0.0317382812,,,47.,-0.0149571896,47.,-0.1674696207,,,,,,,,
,,,,,,,,,,,,,,48.,-0.0313720703,,,48.,-0.1275256276,48.,-0.1676005721,,,,,,,,
,,,,,,,,,,,,,,49.,-0.0313720703,,,49.,-0.0980894566,49.,-0.1675334573,,,,,,,,
,,,,,,,,,,,,,,50.,-0.0314941406,,,50.,-0.0076777339,50.,-0.1673741937,,,,,,,,
,,,,,,,,,,,,,,51.,-0.0317382812,,,51.,0.0967050195,51.,-0.1673103571,,,,,,,,
,,,,,,,,,,,,,,52.,-0.0318603516,,,52.,0.1283410192,52.,-0.1672583818,,,,,,,,
,,,,,,,,,,,,,,53.,-0.0318603516,,,53.,0.0721530914,53.,-0.1673808098,,,,,,,,
,,,,,,,,,,,,,,54.,-0.0316162109,,,54.,-0.0347122550,54.,-0.1675206423,,,,,,,,
,,,,,,,,,,,,,,55.,-0.0314941406,,,55.,-0.1193695664,55.,-0.1676014662,,,,,,,,
,,,,,,,,,,,,,,56.,-0.0313720703,,,56.,-0.0745637417,56.,-0.1675108671,,,,,,,,
,,,,,,,,,,,,,,57.,-0.0316162109,,,57.,0.0441362858,57.,-0.1673353910,,,,,,,,
,,,,,,,,,,,,,,58.,-0.0317382812,,,58.,0.1232014298,58.,-0.1672097445,,,,,,,,
,,,,,,,,,,,,,,59.,-0.0318603516,,,59.,0.1101199389,59.,-0.167311132,,,,,,,,
,,,,,,,,,,,,,,60.,-0.0316162109,,,60.,-0.0528792739,60.,-0.1675303578,,,,,,,,
,,,,,,,,,,,,,,61.,-0.0314941406,,,61.,-0.126814425,61.,-0.1676164269,,,,,,,,
,,,,,,,,,,,,,,62.,-0.0313720703,,,62.,-0.0987859368,62.,-0.1675421,,,,,,,,
,,,,,,,,,,,,,,63.,-0.0314941406,,,63.,0.0090389252,63.,-0.1673585176,,,,,,,,
,,,,,,,,,,,,,,64.,-0.0318603516,,,64.,0.1288837790,64.,-0.1672490239,,,,,,,,
