x0000,y0000,x0001,y0001,x0002,y0002,x0003,y0003,x0004,y0004,x0005,y0005,x0006,y0006,x0007,y0007,x0008,y0008,x0009,y0009,x0010,y0010,x0011,y0011,x0012,y0012,x0013,y0013,x0014,y0014
0.,0.,,,,,,,,,0.,1.,,,0.,0.0303955078,,,0.,-0.1666294336,0.,0.0079969168,,,,,,,,
2047.,0.,,,,,,,,,2047.,1.,,,1.,0.0305175781,,,1.,-0.1664443016,1.,0.1266849637,,,,,,,,
,,,,,,,,,,,,,,2.,0.0306396484,,,2.,-0.166572094,2.,0.0665327907,,,,,,,,
,,,,,,,,,,,,,,3.,0.0305175781,,,3.,-0.1668297052,3.,-0.0865223408,,,,,,,,
,,,,,,,,,,,,,,4.,0.0302734375,,,4.,-0.166879952,4.,-0.1180428863,,,,,,,,
,,,,,,,,,,,,,,5.,0.0303955078,,,5.,-0.1666010618,5.,0.0183759928,,,,,,,,
,,,,,,,,,,,,,,6.,0.0305175781,,,6.,-0.1664724946,6.,0.1272877455,,,,,,,,
,,,,,,,,,,,,,,7.,0.0305175781,,,7.,-0.1667588949,7.,-0.0221288204,,,,,,,,
,,,,,,,,,,,,,,8.,0.0303955078,,,8.,-0.1668713093,8.,-0.1294354200,,,,,,,,
,,,,,,,,,,,,,,9.,0.0302734375,,,9.,-0.1667286754,9.,-0.0524250865,,,,,,,,
,,,,,,,,,,,,,,10.,0.0306396484,,,10.,-0.1664286852,10.,0.1297214627,,,,,,,,
,,,,,,,,,,,,,,11.,0.0306396484,,,11.,-0.1666064262,11.,0.0499263406,,,,,,,,
,,,,,,,,,,,,,,12.,0.0303955078,,,12.,-0.1668619514,12.,-0.0983999372,,,,,,,,
,,,,,,,,,,,,,,13.,0.0302734375,,,13.,-0.1668898463,13.,-0.1136400104,,,,,,,,
,,,,,,,,,,,,,,14.,0.0305175781,,,14.,-0.1665050983,14.,0.096493423,,,,,,,,
,,,,,,,,,,,,,,15.,0.0306396484,,,15.,-0.1664705873,15.,0.1163676977,,,,,,,,
,,,,,,,,,,,,,,16.,0.0305175781,,,16.,-0.1667428017,16.,-0.0166169405,,,,,,,,
,,,,,,,,,,,,,,17.,0.0302734375,,,17.,-0.1668840051,17.,-0.1149502993,,,,,,,,
,,,,,,,,,,,,,,18.,0.0303955078,,,18.,-0.1665918231,18.,0.0181773901,,,,,,,,
,,,,,,,,,,,,,,19.,0.0305175781,,,19.,-0.166461885,19.,0.1282656789,,,,,,,,
,,,,,,,,,,,,,,20.,0.0305175781,,,20.,-0.166736722,20.,-0.0211904049,,,,,,,,
,,,,,,,,,,,,,,21.,0.0303955078,,,21.,-0.1668816805,21.,-0.1300706267,,,,,,,,
