error_signal,power_signal,t
392,395,67733.231
173,383,67733.36
156,383,67733.491
161,426,67733.62
156,397,67733.746
163,402,67733.871
178,424,67734.008
229,362,67734.131
171,404,67734.254
16842646,416,67734.382
214,358,67734.512
65417,351,67734.63
197,544,67734.769
151,444,67734.894
160,417,67735.016
198,415,67735.154
23,346,67735.275
430,469,67735.399
192,455,67735.54
157,304,67735.665
176,461,67735.793
16711884,739,67735.925
137,342,67736.05
129,396,67736.184
26,439,67736.311
193,387,67736.432
111,450,67736.569
178,427,67736.757
152,355,67736.896
346,303,67737.016
188,410,67737.167
124,475,67737.292
172,417,67737.422
125,326,67737.566
254,412,67737.697
169,402,67737.816
173,401,67737.955
204,380,67738.085
153,370,67738.221
187,372,67738.343
154,448,67738.508
156,415,67738.667
192,648,67738.798
217,454,67738.925
126,447,67739.049
146,469,67739.172
249,366,67739.302
168,437,67739.427
192,474,67739.567
16711896,439,67739.691
253,431,67739.83
188,431,67739.952
139,665,67740.092
171,409,67740.212
214,402,67740.357
224,256,67740.49
176,457,67740.628
102,206,67740.753
42,391,67740.896
122,426,67741.012
190,380,67741.143
215,347,67741.291
197,398,67741.419
65441,494,67741.538
165,268,67741.674
146,444,67741.798
132,499,67741.928
188,381,67742.048
16,424,67742.192
168,443,67742.322
31,288,67742.462
232,381,67742.594
205,448,67742.716
34,380,67742.848
171,407,67742.975
182,470,67743.101
210,323,67743.219
175,366,67743.349
174,392,67743.486
220,367,67743.62
144,495,67743.745
152,402,67743.871
168,423,67743.994
322,756,67744.129
159,301,67744.251
162,372,67744.397
184,423,67744.552
185,482,67744.684
155,408,67744.818
180,417,67744.95
154,506,67745.102
180,444,67745.257
202,427,67745.392
174,441,67745.52
158,429,67745.651
234,378,67745.78
177,440,67745.899
176,441,67746.032
148,366,67746.155
203,435,67746.282
174,481,67746.402
192,384,67746.547
172,435,67746.664
198,392,67746.796
173,472,67746.925
192,445,67747.056
184,453,67747.173
134,400,67747.308
157,414,67747.449
180,437,67747.578
159,411,67747.717
195,327,67747.832
160,259,67747.956
165,438,67748.098
162,466,67748.225
129,415,67748.345
184,436,67748.475
182,446,67748.608
238,339,67748.748
181,417,67748.887
172,436,67749.008
163,423,67749.133
161,429,67749.258
161,456,67749.382
167,405,67749.777
203,420,67749.99
132,361,67750.111
173,363,67750.234
141,432,67750.358
176,429,67750.487
169,382,67750.609
144,349,67750.754
192,382,67750.883
175,672,67751.0
165,447,67751.124
170,475,67751.26
188,437,67751.386
182,454,67751.517
158,419,67751.635
201,454,67751.76
168,447,67751.914
192,382,67752.042
191,302,67752.165
223,455,67752.289
154,402,67752.414
139,438,67752.546
147,455,67752.671
192,443,67752.808
178,460,67752.95
174,385,67753.067
160,447,67753.192
158,422,67753.323
146,458,67753.443
185,414,67753.57
174,436,67753.69
164,439,67753.818
137,447,67753.985
178,430,67754.112
185,321,67754.236
163,444,67754.357
175,353,67754.484
147,407,67754.608
191,433,67754.73
181,425,67754.852
162,353,67754.983
195,468,67755.104
159,341,67755.227
168,609,67755.351
158,428,67755.697
180,358,67755.931
134,424,67756.049
148,482,67756.173
216,400,67756.295
194,414,67756.42
188,424,67756.548
166,450,67756.664
187,445,67756.789
177,460,67756.915
195,414,67757.042
202,473,67757.177
153,359,67757.302
178,360,67757.424
150,375,67757.554
186,399,67757.673
198,465,67757.8
136,366,67757.92
172,326,67758.049
162,460,67758.206
191,423,67758.329
163,465,67758.452
138,446,67758.584
149,351,67758.701
161,268,67758.825
193,431,67758.956
159,466,67759.08
162,405,67759.215
142,416,67759.335
171,459,67759.46
182,343,67759.591
165,380,67759.71
152,430,67759.832
174,460,67759.966
184,427,67760.092
174,448,67760.227
170,412,67760.365
164,435,67760.519
172,449,67760.647
195,376,67760.765
152,425,67760.892
152,425,67761.014
184,425,67761.134
131,442,67761.269
165,320,67761.408
179,428,67761.549
141,380,67761.664
217,449,67762.027
158,378,67762.149
130,422,67762.273
172,376,67762.397
166,380,67762.524
84,336,67762.648
114,428,67762.785
1020,139138,67762.912
64766,83141,67763.032
1022,369583,67763.156
996,20056,67763.285
255,430964,67763.42
1023,367908,67763.566
1023,319813,67763.684
1022,95485,67763.806
1009,65127,67763.929
1021,356041,67764.062
1019,40271,67764.18
1003,176901,67764.305
1022,397314,67764.436
1022,133930,67764.572
1013,36035,67764.705
1015,44333,67764.822
878,200304,67764.957
1021,564,67765.084
1021,173317,67765.206
1021,256836,67765.332
1020,47331,67765.45
966,450390,67765.606
1021,53118,67765.736
1021,303904,67765.857
1014,855,67765.983
1276,48883,67766.107
1021,346661,67766.228
1023,62709,67766.356
1022,65536,67766.476
16778222,453292,67766.603
1022,346,67766.722
1022,117485,67766.86
1020,104254,67766.987
1022,43462,67767.113
1002,157755,67767.234
507,133563,67767.359
1022,382202,67767.482
1023,22084,67767.617
1021,456810,67767.779
791,115518,67767.905
1022,149400,67768.026
1022,115158,67768.151
1021,29189,67768.275
16712700,433714,67768.398
1011,57509,67768.527
1022,356815,67768.656
1019,328236,67768.793
1023,367116,67768.91
25,366222,67769.03
1022,305351,67769.157
1022,117664,67769.278
978,16210,67769.405
1013,14510,67769.532
1022,335126,67769.65
1013,182789,67769.776
1011,194562,67769.897
1022,429176,67770.019
1023,4074,67770.147
1022,354440,67770.267
1023,82738,67770.391
1018,151118,67770.521
1019,333290,67770.644
510,37243,67770.771
1022,25255,67770.905
858,329020,67771.033
1023,13797,67771.428
1023,61129,67771.646
1022,331391,67771.898
1019,82308,67772.015
1023,335700,67772.141
1023,351831,67772.532
1021,57429,67772.762
916,55449,67773.002
1017,16253,67773.214
1022,127889,67773.379
1023,327900,67773.508
1018,160506,67773.628
1023,260004,67773.752
813,329691,67773.876
1021,281954,67774.034
1022,418237,67774.43
1020,371828,67774.554
1022,4946,67774.673
1022,264390,67774.801
1012,34368,67774.937
1015,65836,67775.08
1023,292654,67775.202
923,198786,67775.326
1022,10406,67775.449
1018,271119,67775.577
1022,384137,67775.697
1015,217773,67775.82
1023,128687,67775.944
1022,22476,67776.078
1022,168370,67776.241
1022,298746,67776.37
1019,26903,67776.503
1017,16048,67776.632
64766,3265,67776.755
1015,10193,67776.894
970,38919,67777.018
1023,129002,67777.14
1021,200919,67777.264
1021,56816,67777.39
1022,404805,67777.734
977,60380,67777.954
1008,131280,67778.122
1014,154971,67778.243
1023,284357,67778.381
1022,44593,67778.503
64767,224949,67778.638
64762,22021,67779.083
1022,14481,67779.217
1022,211590,67779.359
1023,55477,67779.483
1022,12694,67779.848
1023,73815,67779.971
1017,207596,67780.095
1022,248118,67780.232
1014,59406,67780.364
1019,382483,67780.486
1022,22557,67780.609
986,368920,67780.731
1023,352004,67780.854
1022,46452,67780.979
1002,62977,67781.105
1022,328906,67781.227
510,29493,67781.355
928,266120,67781.475
1023,233248,67781.606
16712701,251242,67781.721
1022,140696,67781.847
1022,134862,67781.971
510,75314,67782.095
64766,325941,67782.218
1023,358326,67782.34
988,88345,67782.481
1022,247000,67782.61
1018,253837,67782.734
1021,351383,67782.853
1023,237508,67782.974
1021,341742,67783.099
1023,160999,67783.224
1022,452126,67783.351
882,240072,67783.491
1022,74186,67783.627
1021,252739,67783.754
1021,33946,67783.882
1010,157035,67784.0
1007,52653,67784.129
1022,452263,67784.253
1022,386471,67784.381
1022,103809,67784.516
1023,211434,67784.869
1022,458545,67785.102
1023,333010,67785.267
1022,122910,67785.397
1023,258212,67785.733
254,38208,67785.86
1023,40914,67785.984
1022,283950,67786.111
1012,41438,67786.234
1023,24246,67786.355
1022,387199,67786.48
510,383308,67786.628
1022,368028,67786.743
1022,271748,67786.872
871,165878,67786.993
1021,133874,67787.116
510,103456,67787.244
767,32533,67787.364
1023,1414652,67787.488
1023,1381543,67787.618
1023,1428178,67787.736
1023,538959,67787.872
1023,518404,67788.003
1020,71739,67788.13
1023,1338484,67788.252
1023,1169996,67788.375
1023,1422345,67788.502
1023,1058223,67788.628
1023,372726,67788.786
1023,412152,67788.909
1023,1394866,67789.03
1023,1393926,67789.164
1023,1097007,67789.294
1023,556295,67789.42
1022,569307,67789.548
1023,986272,67789.669
1023,1063498,67789.796
1023,1410004,67789.934
1022,169673,67790.063
1023,566801,67790.185
1023,930305,67790.314
1023,278701,67790.437
1023,1357044,67790.561
1023,682000,67790.682
1023,1115079,67790.807
1021,282395,67790.931
1023,731395,67791.329
1023,215923,67791.543
