+--------------------------+--------------------------+----------------------------------------------------------------------------------------------------------+
|       Launch Clock       |      Capture Clock       |                                                 Pin                                                      |
+--------------------------+--------------------------+----------------------------------------------------------------------------------------------------------+
|                    clk_2 |                    clk_2 |                                                                         linien_divider_quotient_reg[15]/D|
|                    clk_2 |                    clk_2 |                                                                         linien_divider_quotient_reg[16]/D|
|                    clk_2 |                    clk_2 |                                                                         linien_divider_quotient_reg[24]/D|
|                    clk_2 |                    clk_2 |                                                                         linien_divider_quotient_reg[23]/D|
|                    clk_2 |                    clk_2 |                                                                         linien_divider_quotient_reg[22]/D|
|                    clk_2 |                    clk_2 |                                                                       linien_current_output_time_reg[5]/D|
|                    clk_2 |                    clk_2 |                                                                      linien_current_output_time_reg[10]/D|
|                    clk_2 |                    clk_2 |                                                                      linien_current_output_time_reg[12]/D|
|                    clk_2 |                    clk_2 |                                                                       linien_current_output_time_reg[2]/D|
|                    clk_2 |                    clk_2 |                                                                       linien_current_output_time_reg[8]/D|
|                    clk_2 |                    clk_2 |                                                                       linien_current_output_time_reg[4]/D|
|                    clk_2 |                    clk_2 |                                                                     red_pitaya_scope/adc_a_q_dat_reg[7]/D|
|                    clk_2 |                    clk_2 |                                                                       red_pitaya_scope/adc_b_dat_reg[4]/D|
|                    clk_2 |                    clk_2 |                                                                       red_pitaya_scope/adc_b_dat_reg[6]/D|
|                    clk_2 |                    clk_2 |                                                                       linien_current_output_time_reg[7]/D|
|                    clk_2 |                    clk_2 |                                                                      red_pitaya_scope/adc_b_dat_reg[11]/D|
|                    clk_2 |                    clk_2 |                                                                       linien_current_output_time_reg[1]/D|
|                    clk_2 |                    clk_2 |                                                                    red_pitaya_scope/adc_b_q_dat_reg[12]/D|
|                    clk_2 |                    clk_2 |                                                                       red_pitaya_scope/adc_a_dat_reg[5]/D|
|                    clk_2 |                    clk_2 |                                                                       red_pitaya_scope/adc_a_dat_reg[4]/D|
|                    clk_2 |                    clk_2 |                                                                    red_pitaya_scope/adc_b_q_dat_reg[13]/D|
|                    clk_2 |                    clk_2 |                                                                      red_pitaya_scope/adc_b_dat_reg[13]/D|
|                    clk_2 |                    clk_2 |                                                                      red_pitaya_scope/adc_b_dat_reg[10]/D|
|                    clk_2 |                    clk_2 |                                                                      red_pitaya_scope/adc_b_dat_reg[12]/D|
|                    clk_2 |                    clk_2 |                                                                       red_pitaya_scope/adc_a_dat_reg[3]/D|
|                    clk_2 |                    clk_2 |                                                                              linien_sweep_direction_reg/D|
|                    clk_2 |                    clk_2 |                                                                       red_pitaya_scope/adc_b_dat_reg[8]/D|
|                    clk_2 |                    clk_2 |                                                             linien_fast_b_limitcsr1_limitcsr1_y1_reg[1]/D|
|                    clk_2 |                    clk_2 |                                                             linien_fast_b_limitcsr1_limitcsr1_y1_reg[9]/D|
|                    clk_2 |                    clk_2 |                                                             linien_fast_b_limitcsr1_limitcsr1_y1_reg[0]/D|
|                    clk_2 |                    clk_2 |                                                            linien_fast_b_limitcsr1_limitcsr1_y1_reg[11]/D|
|                    clk_2 |                    clk_2 |                                                                          linien_fast_a_iir0_zr6_reg[49]/D|
|                    clk_2 |                    clk_2 |                                                                          linien_fast_b_iir1_zr2_reg[49]/D|
|                    clk_2 |                    clk_2 |                                                                          linien_fast_a_iir0_zr6_reg[45]/D|
